T,x,y,z,vx,vy,vz,omega0,omega1,omega2,omega3,wx,wy,wz
150,6518816.78844969,1157859.96907868,-0.34497786239056,-1358.94316366294,7639.27424006727,-0.00458788966107741,0.5,-0.5,-0.5,0.5,1.62660957977893e-11,0,0
151,6517453.3624016,1165498.44527066,-0.349580886590214,-1367.90862135899,7637.67639257358,-0.00461815768768514,0.500004476869235,-0.49999552309068,-0.49999552309068,0.500004476869235,3.58150969004904e-05,0,0
152,6516080.97183136,1173135.31836154,-0.354214175657932,-1376.87220588626,7636.0680382399,-0.00464841939029915,0.500017907227766,-0.499982092130873,-0.499982092130873,0.500017907227766,7.16301764815973e-05,0,0
153,6514699.6186183,1180770.57784563,-0.358877723249029,-1385.83390496696,7634.44917924901,-0.0046786747274687,0.500040290353763,-0.499959706399351,-0.499959706399351,0.500040290353763,0.000107445256062704,0,0
154,6513309.30465398,1188404.21321938,-0.363571522977349,-1394.79370632573,7632.81981779798,-0.00470892365775119,0.500071625044624,-0.499928364693613,-0.499928364693613,0.500071625044624,0.000143260335643811,0,0
155,6511910.03184227,1196036.21398133,-0.368295568415224,-1403.75159768934,7631.1799560982,-0.00473916613971065,0.500111909617042,-0.499888065329827,-0.499888065329827,0.500111909617042,0.000179075415224918,0,0
156,6510501.80209933,1203666.56963233,-0.37304985309359,-1412.70756678726,7629.52959637532,-0.00476940213192028,0.500161141905812,-0.499838806144016,-0.499838806144016,0.500161141905812,0.000214890494806025,0,0
157,6509084.61735355,1211295.26967546,-0.377834370501989,-1421.66160135163,7627.8687408692,-0.00479963159296254,0.500219319263814,-0.499780584492082,-0.499780584492082,0.500219319263814,0.000250705574387131,0,0
158,6507658.47954559,1218922.30361609,-0.382649114088566,-1430.61368911727,7626.19739183395,-0.00482985448142909,0.500286438562009,-0.499713397249805,-0.499713397249805,0.500286438562009,0.000286520653968238,0,0
159,6506223.39062837,1226547.66096188,-0.387494077260073,-1439.5638178217,7624.5155515379,-0.00486007075592083,0.500362496189443,-0.499637240812841,-0.499637240812841,0.500362496189443,0.000322335733549345,0,0
160,6504779.35256707,1234171.33122272,-0.392369253381866,-1448.5119752051,7622.82322226363,-0.0048902803750479,0.500447488053247,-0.499552111096725,-0.499552111096725,0.500447488053247,0.000358150813130452,0,0
161,6503326.36733915,1241793.30391085,-0.397274635777924,-1457.45814901033,7621.12040630794,-0.00492048329742947,0.500541409577462,-0.499458003538048,-0.499458003538048,0.500541409577462,0.000393965892711559,0,0
162,6501864.4369343,1249413.56854071,-0.402210217730801,-1466.4023269825,7619.40710598196,-0.00495067948169167,0.500644255702899,-0.49935491309459,-0.49935491309459,0.500644255702899,0.000429780972292665,0,0
163,6500393.56335451,1257032.114629,-0.407175992481626,-1475.3444968692,7617.68332361108,-0.00498086888646873,0.500756020888215,-0.499242834244239,-0.499242834244239,0.500756020888215,0.000465596051873772,0,0
164,6498913.74861398,1264648.9316948,-0.412171953230205,-1484.28464642085,7615.94906153492,-0.00501105147040458,0.500876699106679,-0.499121760988251,-0.499121760988251,0.500876699106679,0.000501411131454879,0,0
165,6497424.9947392,1272264.00925959,-0.417198093135023,-1493.22276339065,7614.20432210729,-0.00504122719215281,0.501006283846104,-0.49899168685132,-0.49899168685132,0.501006283846104,0.000537226211035986,0,0
166,6495927.30376884,1279877.33684722,-0.422254405313241,-1502.15883553465,7612.44910769622,-0.0050713960103767,0.501144768108842,-0.498852604881578,-0.498852604881578,0.501144768108842,0.000573041290617093,0,0
167,6494420.67775385,1287488.90398394,-0.427340882840699,-1511.09285061169,7610.68342068394,-0.0051015578837492,0.501292144411792,-0.498704507650599,-0.498704507650599,0.501292144411792,0.000608856370198199,0,0
168,6492905.11875741,1295098.70019839,-0.432457518751916,-1520.02479638345,7608.90726346691,-0.00513171277095294,0.50144840478639,-0.498547387253392,-0.498547387253392,0.50144840478639,0.000644671449779306,0,0
169,6491380.62885493,1302706.7150216,-0.437604306040104,-1528.9546606144,7607.12063845576,-0.00516186063068011,0.501613540776871,-0.498381235310184,-0.498381235310184,0.501613540776871,0.000680486529360413,0,0
170,6489847.21013407,1310312.937987,-0.442781237657132,-1537.88243107144,7605.32354807544,-0.00519200142163046,0.501787543438088,-0.498206042968589,-0.498206042968589,0.501787543438088,0.00071630160894152,0,0
